date,open,high,low,close
22-07-2019,81.8,87.4,77.85,83.0
23-07-2019,81.3,82.0,79.1,79.95
24-07-2019,82.35,84.85,80.5,83.5
25-07-2019,81.8,81.95,79.05,79.8
26-07-2019,78.15,83.75,78.15,81.0
29-07-2019,81.05,81.05,77.75,78.5
30-07-2019,77.05,78.95,74.1,74.6
31-07-2019,74.45,75.15,63.0,70.7
01-08-2019,69.25,71.95,66.25,67.1
02-08-2019,66.65,69.7,63.15,68.85
05-08-2019,68.85,70.0,64.15,69.9
06-08-2019,65.7,77.5,65.65,71.55
07-08-2019,71.6,74.9,67.5,69.1
08-08-2019,68.15,70.75,65.25,70.4
09-08-2019,68.0,72.55,68.0,69.4
13-08-2019,69.25,72.35,57.2,60.25
14-08-2019,60.35,68.25,60.25,68.05
16-08-2019,66.6,74.8,65.65,69.9
19-08-2019,68.45,73.95,68.45,73.0
20-08-2019,71.5,73.35,69.0,70.35
21-08-2019,70.1,74.4,69.7,70.05
22-08-2019,68.55,70.75,65.0,66.6
23-08-2019,65.25,71.75,65.0,69.5
26-08-2019,69.65,69.65,65.25,68.9
27-08-2019,67.5,73.0,65.3,68.1
28-08-2019,70.05,70.95,66.7,67.7
29-08-2019,68.0,69.8,65.1,66.05
30-08-2019,65.05,67.5,65.0,66.7
03-09-2019,65.35,69.9,61.95,64.4
04-09-2019,66.3,69.4,63.05,68.5
05-09-2019,65.65,68.95,65.1,67.5
06-09-2019,68.4,71.8,66.15,71.05
09-09-2019,71.0,74.95,71.0,73.9
11-09-2019,71.65,74.0,69.5,73.0
12-09-2019,71.5,73.9,71.5,73.45
13-09-2019,73.35,74.0,68.65,73.2
16-09-2019,73.85,74.0,72.05,73.15
17-09-2019,73.45,73.9,70.65,71.35
18-09-2019,71.35,73.35,70.35,72.8
19-09-2019,71.75,73.5,69.5,70.6
20-09-2019,70.0,73.45,68.1,71.75
23-09-2019,73.35,73.85,72.15,73.85
24-09-2019,72.85,73.8,71.0,71.35
25-09-2019,71.95,72.85,68.15,71.2
26-09-2019,70.3,72.0,70.25,70.8
27-09-2019,72.95,72.95,70.1,71.45
30-09-2019,70.05,71.35,68.2,69.75
01-10-2019,69.85,72.3,66.3,67.7
03-10-2019,70.35,72.05,66.6,68.55
04-10-2019,71.3,71.35,68.1,68.95
07-10-2019,68.75,69.95,68.4,69.05
09-10-2019,70.95,71.0,67.8,68.45
10-10-2019,67.55,69.8,65.7,69.45
11-10-2019,69.5,69.8,68.5,68.5
14-10-2019,68.45,70.0,66.55,69.8
15-10-2019,69.0,69.0,67.1,68.0
16-10-2019,69.2,69.25,67.75,69.0
17-10-2019,69.0,69.5,65.6,67.75
18-10-2019,68.15,69.6,68.1,69.4
22-10-2019,68.05,69.0,67.3,67.6
23-10-2019,69.45,69.5,66.6,67.1
24-10-2019,68.0,68.15,67.2,67.25
25-10-2019,62.55,70.0,62.55,69.85
29-10-2019,68.05,69.9,68.0,69.05
30-10-2019,69.0,70.0,68.2,69.85
31-10-2019,67.35,69.95,67.35,68.4
01-11-2019,66.65,70.35,66.65,67.05
04-11-2019,66.0,69.4,60.6,66.35
05-11-2019,69.0,69.0,64.9,66.75
06-11-2019,68.0,69.0,67.0,68.75
07-11-2019,67.85,69.8,66.35,67.0
08-11-2019,68.75,68.8,64.6,65.25
11-11-2019,65.9,65.9,64.6,65.5
13-11-2019,66.85,66.85,65.0,65.0
