date,open,high,low,close
06-10-2023,162.15,170.25,162.1,170.25
09-10-2023,170.5,173.95,162.1,167.55
10-10-2023,168.05,170.45,167.9,168.85
11-10-2023,168.7,170.05,164.7,167.4
12-10-2023,165.2,168.9,165.05,168.3
13-10-2023,167.1,176.7,166.1,176.7
16-10-2023,185.5,185.5,185.5,185.5
17-10-2023,194.75,194.75,194.75,194.75
18-10-2023,195.0,196.0,185.05,185.05
19-10-2023,181.0,194.3,177.1,194.3
20-10-2023,192.3,198.9,186.1,189.25
23-10-2023,190.45,194.0,173.3,175.05
25-10-2023,179.4,179.85,166.75,175.25
26-10-2023,173.55,191.9,169.6,188.6
27-10-2023,191.8,197.5,187.05,190.85
30-10-2023,191.8,202.8,186.45,194.85
31-10-2023,196.1,198.3,189.05,190.1
01-11-2023,191.3,201.85,188.55,193.15
02-11-2023,194.95,205.45,193.95,201.95
03-11-2023,203.0,206.1,192.05,192.85
06-11-2023,194.75,198.7,185.85,187.15
07-11-2023,179.6,189.6,179.6,184.5
08-11-2023,187.0,187.7,182.0,183.05
09-11-2023,185.0,185.75,174.95,176.75
10-11-2023,176.9,185.4,175.0,183.5
12-11-2023,186.95,191.0,185.2,187.7
13-11-2023,187.0,187.0,180.8,182.1
15-11-2023,186.0,192.4,183.0,190.95
16-11-2023,191.8,192.1,186.9,188.45
17-11-2023,188.45,191.9,187.05,188.4
20-11-2023,188.5,190.9,184.0,184.45
21-11-2023,185.0,186.75,182.05,182.9
22-11-2023,184.85,185.45,180.5,182.35
23-11-2023,183.45,184.15,181.0,182.05
24-11-2023,181.5,184.8,181.05,184.4
28-11-2023,186.4,190.8,184.1,185.05
29-11-2023,185.05,188.25,183.05,184.6
30-11-2023,183.15,184.75,177.15,181.0
01-12-2023,178.6,188.7,175.8,178.85
04-12-2023,181.95,182.3,177.05,179.6
05-12-2023,180.35,180.35,176.55,177.7
06-12-2023,179.95,180.9,176.0,176.5
07-12-2023,177.0,180.2,175.2,177.15
08-12-2023,178.0,178.95,174.6,176.5
11-12-2023,178.65,178.65,174.55,176.1
12-12-2023,178.0,178.0,171.95,173.15
13-12-2023,174.95,175.45,169.7,174.2
14-12-2023,175.85,175.85,170.6,172.95
15-12-2023,173.95,174.8,171.5,172.4
18-12-2023,173.0,174.15,170.35,172.6
19-12-2023,173.4,185.0,173.1,178.65
20-12-2023,179.9,181.55,170.0,170.95
21-12-2023,167.35,175.5,167.0,174.25
22-12-2023,179.0,179.8,174.65,177.0
26-12-2023,177.0,180.55,173.25,174.85
27-12-2023,178.9,178.9,173.0,175.0
28-12-2023,175.0,175.9,173.2,174.55
29-12-2023,174.6,176.45,172.25,173.2
01-01-2024,175.75,179.0,173.5,175.2
02-01-2024,175.2,176.7,171.1,173.25
03-01-2024,174.35,175.45,172.0,172.3
04-01-2024,175.0,177.1,172.5,174.85
05-01-2024,177.7,177.7,171.75,172.7
08-01-2024,175.8,175.8,167.9,169.2
09-01-2024,171.55,173.85,168.5,168.95
10-01-2024,169.0,170.2,166.35,167.5
11-01-2024,168.0,176.1,168.0,174.6
12-01-2024,176.2,181.9,173.55,174.75
15-01-2024,176.0,180.0,174.2,177.15
16-01-2024,177.15,191.0,176.1,187.95
17-01-2024,185.0,192.0,182.05,186.8
18-01-2024,184.0,191.8,183.4,186.55
19-01-2024,193.0,206.15,191.0,204.8
20-01-2024,203.0,211.0,202.0,205.9
23-01-2024,205.75,205.75,188.2,190.45
24-01-2024,191.0,197.4,189.85,195.5
25-01-2024,197.35,198.2,191.0,192.75
29-01-2024,192.75,204.25,191.1,202.35
30-01-2024,204.9,212.8,201.1,204.0
31-01-2024,205.95,208.0,199.4,202.25
01-02-2024,204.45,204.45,198.6,200.2
02-02-2024,203.1,214.95,198.6,202.05
