date,open,high,low,close
19-04-2022,10.9,10.9,9.9,10.2
20-04-2022,10.7,10.7,10.05,10.15
21-04-2022,10.25,10.7,9.75,10.65
22-04-2022,11.1,11.15,10.55,11.15
25-04-2022,11.6,11.75,10.8,11.75
26-04-2022,12.15,12.15,11.45,11.75
27-04-2022,11.4,11.85,11.3,11.6
28-04-2022,12.15,12.15,11.9,12.1
29-04-2022,12.75,12.75,11.55,12.15
02-05-2022,12.8,12.8,11.9,12.75
04-05-2022,13.35,13.35,13.0,13.35
05-05-2022,13.75,14.0,13.65,14.0
06-05-2022,14.55,14.7,14.0,14.7
09-05-2022,15.1,15.4,14.85,15.4
10-05-2022,15.7,16.15,15.7,16.1
11-05-2022,16.75,16.9,16.65,16.9
12-05-2022,17.7,17.7,16.05,16.65
13-05-2022,15.8,15.8,15.8,15.8
16-05-2022,15.0,15.0,15.0,15.0
17-05-2022,14.3,14.3,14.3,14.3
18-05-2022,13.6,13.6,13.6,13.6
19-05-2022,25.85,25.85,25.85,25.85
20-05-2022,24.8,27.15,24.8,27.15
23-05-2022,28.25,28.45,27.75,28.45
24-05-2022,29.35,29.85,28.4,29.85
25-05-2022,30.9,31.3,30.9,31.3
26-05-2022,32.7,32.85,29.8,29.8
27-05-2022,28.3,28.3,28.3,28.3
30-05-2022,26.95,26.95,26.95,26.95
31-05-2022,25.6,25.6,25.6,25.6
01-06-2022,24.4,25.15,24.4,24.4
02-06-2022,23.2,23.2,23.2,23.2
03-06-2022,22.05,22.05,22.05,22.05
06-06-2022,20.95,20.95,20.95,20.95
07-06-2022,19.9,19.9,19.9,19.9
08-06-2022,18.95,18.95,18.95,18.95
09-06-2022,18.05,18.05,18.05,18.05
10-06-2022,17.15,18.95,17.15,18.85
13-06-2022,19.0,19.75,18.95,19.75
14-06-2022,19.85,20.7,18.8,19.05
15-06-2022,18.1,18.1,18.1,18.1
16-06-2022,17.2,17.2,17.2,17.2
17-06-2022,16.35,16.35,16.35,16.35
20-06-2022,15.55,17.1,15.55,15.55
21-06-2022,7.6,7.85,7.35,7.35
22-06-2022,7.05,7.05,7.05,7.05
23-06-2022,6.7,6.7,6.7,6.7
24-06-2022,6.35,6.35,6.35,6.35
27-06-2022,6.2,6.25,6.05,6.05
28-06-2022,5.75,5.75,5.75,5.75
29-06-2022,5.7,6.05,5.5,6.05
30-06-2022,6.3,6.3,6.3,6.3
01-07-2022,6.65,6.65,6.65,6.65
04-07-2022,6.65,7.0,6.3,6.95
05-07-2022,7.2,7.25,7.15,7.25
06-07-2022,7.6,7.65,6.95,6.95
07-07-2022,6.6,7.15,6.6,6.8
08-07-2022,6.95,7.15,6.55,6.7
11-07-2022,6.8,6.8,6.35,6.35
12-07-2022,6.6,6.7,6.15,6.2
13-07-2022,6.4,6.4,5.95,6.15
14-07-2022,6.2,6.25,5.9,6.1
15-07-2022,6.2,6.2,5.85,5.9
18-07-2022,6.05,6.2,5.95,6.2
19-07-2022,6.2,6.45,6.15,6.45
20-07-2022,6.6,6.8,6.6,6.8
21-07-2022,6.95,6.95,6.45,6.7
22-07-2022,6.8,6.8,6.35,6.35
25-07-2022,6.05,6.2,6.05,6.05
26-07-2022,5.9,6.05,5.8,5.85
27-07-2022,5.9,6.15,5.6,6.15
28-07-2022,6.05,6.2,5.85,5.85
29-07-2022,5.85,6.0,5.55,5.65
01-08-2022,5.8,5.85,5.5,5.65
02-08-2022,5.75,5.75,5.45,5.55
03-08-2022,5.65,5.8,5.35,5.45
04-08-2022,5.5,5.75,5.25,5.35
05-08-2022,5.35,5.5,5.25,5.25
08-08-2022,5.2,5.35,4.8,4.9
10-08-2022,5.0,5.35,4.95,5.3
11-08-2022,5.5,5.85,5.5,5.85
12-08-2022,5.9,5.9,5.45,5.6
16-08-2022,5.6,5.6,5.2,5.25
17-08-2022,5.25,5.55,5.15,5.25
18-08-2022,5.25,5.35,5.25,5.25
19-08-2022,5.3,5.3,5.25,5.25
22-08-2022,5.4,5.4,4.8,5.0
23-08-2022,5.0,5.25,5.0,5.1
24-08-2022,5.2,5.2,5.05,5.1
25-08-2022,5.2,5.2,5.0,5.0
26-08-2022,5.0,5.15,4.9,5.0
29-08-2022,5.0,5.25,4.85,5.15
30-08-2022,5.2,5.25,5.0,5.1
01-09-2022,5.05,5.25,5.05,5.05
02-09-2022,5.1,5.2,4.9,5.05
05-09-2022,5.05,5.1,4.95,5.0
06-09-2022,5.0,5.05,4.85,4.9
07-09-2022,4.85,5.05,4.85,4.9
08-09-2022,5.05,5.05,4.85,4.95
09-09-2022,5.1,5.1,4.85,4.9
12-09-2022,5.05,5.35,5.0,5.35
13-09-2022,5.25,5.4,5.1,5.2
14-09-2022,5.0,5.45,4.95,5.05
15-09-2022,5.2,5.25,5.0,5.05
16-09-2022,4.95,5.15,4.9,4.9
19-09-2022,5.1,5.1,4.75,4.95
20-09-2022,5.0,5.2,4.85,5.0
21-09-2022,5.0,5.1,4.9,4.9
22-09-2022,4.9,4.95,4.8,4.9
23-09-2022,4.95,4.95,4.85,4.9
26-09-2022,4.9,4.95,4.75,4.8
27-09-2022,4.95,4.95,4.75,4.8
28-09-2022,4.8,4.8,4.55,4.65
29-09-2022,4.7,4.8,4.3,4.45
30-09-2022,4.45,4.55,4.15,4.3
03-10-2022,4.4,4.75,4.3,4.75
04-10-2022,4.95,4.95,4.5,4.75
06-10-2022,4.75,4.8,4.6,4.65
07-10-2022,4.65,4.75,4.6,4.6
10-10-2022,4.85,4.85,4.55,4.6
11-10-2022,4.6,4.75,4.45,4.5
12-10-2022,4.5,4.65,4.4,4.45
13-10-2022,4.4,4.5,4.15,4.25
14-10-2022,4.3,4.4,4.15,4.25
17-10-2022,4.3,5.1,3.6,4.5
18-10-2022,4.5,4.7,4.3,4.6
19-10-2022,4.65,4.75,4.5,4.55
20-10-2022,4.55,4.95,4.35,4.85
21-10-2022,5.1,5.15,4.75,4.85
24-10-2022,4.85,5.05,4.35,4.95
25-10-2022,5.0,5.0,4.75,4.85
27-10-2022,4.8,5.0,4.65,4.8
28-10-2022,5.0,5.0,4.6,4.7
31-10-2022,4.7,4.85,4.3,4.75
01-11-2022,4.75,4.85,4.35,4.7
02-11-2022,4.8,4.8,4.65,4.65
03-11-2022,4.6,5.45,4.6,5.15
04-11-2022,5.3,5.7,5.0,5.5
07-11-2022,5.5,5.55,5.0,5.3
09-11-2022,5.5,5.5,4.95,5.1
10-11-2022,5.25,5.25,4.6,4.7
11-11-2022,4.8,4.95,4.3,4.55
14-11-2022,4.65,4.8,4.6,4.65
15-11-2022,4.75,4.75,4.35,4.45
16-11-2022,4.45,4.6,4.4,4.45
17-11-2022,4.4,5.1,4.4,5.0
18-11-2022,5.2,5.35,4.75,4.95
21-11-2022,5.0,5.25,4.85,4.95
22-11-2022,5.05,5.25,4.9,5.2
23-11-2022,5.05,5.35,5.05,5.2
24-11-2022,5.2,5.25,4.75,4.85
25-11-2022,4.75,4.9,4.2,4.3
28-11-2022,4.3,4.4,3.7,3.75
29-11-2022,3.9,3.9,3.75,3.75
30-11-2022,3.85,3.85,3.45,3.6
01-12-2022,3.6,3.75,3.5,3.6
02-12-2022,3.65,3.7,3.4,3.45
05-12-2022,3.5,3.8,3.5,3.6
06-12-2022,3.65,3.9,3.5,3.55
07-12-2022,3.6,3.65,3.35,3.35
08-12-2022,3.45,3.45,3.05,3.1
09-12-2022,3.2,3.2,2.8,2.85
12-12-2022,2.95,3.15,2.7,3.15
13-12-2022,3.35,3.4,3.25,3.4
14-12-2022,3.2,3.45,3.15,3.35
15-12-2022,3.35,3.5,3.35,3.35
16-12-2022,3.35,3.4,3.0,3.0
19-12-2022,2.95,3.25,2.85,3.0
20-12-2022,3.0,3.1,2.8,2.85
21-12-2022,2.95,3.0,2.75,2.85
22-12-2022,2.9,2.95,2.75,2.8
23-12-2022,2.8,2.85,2.5,2.55
26-12-2022,2.6,2.8,2.4,2.8
27-12-2022,2.9,2.9,2.6,2.75
28-12-2022,2.8,2.8,2.6,2.7
