date,open,high,low,close
24-07-2019,146.0,146.4,138.8,143.05
25-07-2019,142.85,150.7,142.25,149.45
26-07-2019,153.1,153.9,140.75,142.1
29-07-2019,143.0,143.5,133.05,133.65
30-07-2019,133.5,137.0,127.8,128.6
31-07-2019,128.35,132.65,126.1,132.1
01-08-2019,130.2,130.4,122.0,123.45
02-08-2019,119.9,123.0,117.25,121.0
05-08-2019,118.3,120.8,112.45,118.7
06-08-2019,117.3,121.8,116.3,118.8
07-08-2019,118.0,119.2,114.05,114.65
08-08-2019,115.0,117.0,112.8,116.7
09-08-2019,117.0,122.8,116.4,119.5
13-08-2019,116.0,120.9,114.45,117.75
14-08-2019,118.6,126.1,118.6,124.55
16-08-2019,122.35,123.7,118.95,122.4
19-08-2019,123.4,124.15,120.25,122.3
20-08-2019,121.8,122.85,119.6,120.4
21-08-2019,119.1,119.7,116.05,117.95
22-08-2019,116.6,116.9,103.3,107.05
23-08-2019,107.3,116.35,105.55,115.4
26-08-2019,114.5,115.8,107.6,113.05
27-08-2019,114.7,116.95,112.85,116.1
28-08-2019,116.1,116.45,109.6,110.35
29-08-2019,110.7,115.95,108.8,113.75
30-08-2019,115.65,118.6,113.0,117.15
03-09-2019,117.25,117.3,111.55,112.15
04-09-2019,113.0,115.6,110.5,114.7
05-09-2019,117.1,120.5,116.3,117.3
06-09-2019,118.3,121.0,116.85,119.8
09-09-2019,119.95,121.8,117.2,119.25
11-09-2019,122.9,125.0,121.4,124.3
12-09-2019,124.9,125.9,122.5,123.45
13-09-2019,124.0,128.15,121.55,127.3
16-09-2019,125.95,129.0,125.15,126.65
17-09-2019,127.8,131.2,122.45,123.4
18-09-2019,124.0,128.5,123.1,127.7
19-09-2019,127.0,128.1,120.0,124.15
20-09-2019,125.6,139.4,123.5,136.95
23-09-2019,142.0,143.05,133.2,135.9
24-09-2019,136.25,140.15,134.7,137.95
25-09-2019,135.0,136.5,130.75,134.2
26-09-2019,135.2,145.0,134.4,144.1
27-09-2019,143.5,143.5,134.3,135.25
30-09-2019,133.6,134.0,129.25,132.15
01-10-2019,132.4,134.1,123.3,129.3
03-10-2019,127.0,127.0,121.3,122.4
04-10-2019,123.75,125.05,120.5,121.3
07-10-2019,122.0,123.7,119.5,120.65
09-10-2019,120.0,124.5,119.15,123.7
10-10-2019,121.9,123.5,118.5,119.15
11-10-2019,120.55,126.2,119.15,125.05
14-10-2019,126.75,130.8,125.0,125.8
15-10-2019,125.15,133.9,122.5,131.5
16-10-2019,131.75,131.8,127.15,127.9
17-10-2019,126.05,127.7,122.75,126.3
18-10-2019,126.4,130.2,125.8,128.25
22-10-2019,128.6,129.95,125.2,127.15
23-10-2019,127.0,128.0,123.5,124.25
24-10-2019,125.0,126.6,123.0,123.7
25-10-2019,123.95,124.9,119.6,120.2
27-10-2019,122.1,123.15,121.35,122.65
29-10-2019,123.55,130.5,123.55,127.5
30-10-2019,129.45,129.6,127.35,128.1
31-10-2019,129.0,129.2,125.05,126.35
01-11-2019,126.45,133.0,124.7,131.05
04-11-2019,134.55,139.2,134.0,135.6
05-11-2019,137.6,138.9,134.2,135.5
06-11-2019,135.0,139.15,134.7,135.95
07-11-2019,136.95,141.0,133.35,138.95
08-11-2019,138.2,139.8,133.0,133.5
11-11-2019,133.35,134.25,130.2,130.7
13-11-2019,130.4,132.45,125.65,126.4
14-11-2019,128.0,128.5,120.75,122.0
15-11-2019,123.8,124.15,119.7,120.1
18-11-2019,121.0,122.9,120.4,121.4
19-11-2019,121.75,121.9,118.4,119.7
20-11-2019,119.35,121.8,118.4,119.45
21-11-2019,120.0,120.35,116.8,117.05
