date,open,high,low,close
24-05-2022,337.5,354.35,337.0,354.35
25-05-2022,348.0,358.8,336.65,342.55
26-05-2022,334.0,339.95,325.45,338.3
27-05-2022,331.55,335.0,321.4,332.65
30-05-2022,345.0,345.0,321.1,330.05
31-05-2022,332.9,333.5,328.0,329.9
01-06-2022,332.0,335.0,327.0,330.15
02-06-2022,334.0,334.0,325.0,332.2
03-06-2022,332.9,337.0,330.5,333.05
06-06-2022,332.0,336.5,330.0,332.7
07-06-2022,334.75,336.05,329.0,330.0
08-06-2022,332.9,333.5,328.95,330.45
09-06-2022,330.45,332.4,327.0,330.15
10-06-2022,329.0,330.65,328.05,329.4
13-06-2022,327.0,335.0,327.0,329.0
14-06-2022,330.0,331.5,329.0,330.95
15-06-2022,330.95,331.65,327.9,329.5
16-06-2022,332.8,334.0,326.05,328.85
17-06-2022,330.0,330.0,326.7,328.65
20-06-2022,328.7,329.55,325.1,327.9
21-06-2022,328.1,329.2,326.25,327.0
22-06-2022,328.0,328.95,326.15,326.55
23-06-2022,326.55,328.3,326.1,326.6
24-06-2022,327.5,328.25,326.0,326.6
27-06-2022,330.0,331.0,325.0,326.35
28-06-2022,327.95,363.0,327.65,330.3
29-06-2022,330.0,341.0,328.1,334.95
30-06-2022,334.95,341.0,333.6,335.05
01-07-2022,335.0,339.0,332.05,336.95
04-07-2022,339.0,342.45,336.05,340.5
05-07-2022,341.0,342.75,339.5,340.0
06-07-2022,341.25,342.9,338.55,342.0
07-07-2022,343.5,344.5,342.0,342.95
08-07-2022,344.45,345.45,341.0,341.75
11-07-2022,339.25,342.2,337.0,339.4
12-07-2022,340.0,340.95,337.1,338.05
13-07-2022,339.1,339.9,335.5,336.45
14-07-2022,337.95,338.0,335.0,337.35
15-07-2022,337.8,340.0,330.5,334.8
18-07-2022,337.85,344.0,336.45,341.4
19-07-2022,340.05,356.9,340.05,349.2
20-07-2022,356.0,364.25,352.55,355.8
21-07-2022,355.8,359.7,352.0,354.8
22-07-2022,357.85,369.2,354.6,365.95
25-07-2022,365.95,375.0,355.0,359.45
26-07-2022,359.45,363.95,355.15,358.15
27-07-2022,361.9,369.0,355.15,365.75
28-07-2022,369.0,377.9,369.0,370.95
29-07-2022,378.9,389.0,372.0,386.75
01-08-2022,391.0,393.0,386.0,390.85
02-08-2022,390.85,414.0,389.15,399.0
03-08-2022,399.85,404.0,390.0,393.35
04-08-2022,393.35,405.05,392.3,395.2
05-08-2022,404.0,404.0,392.75,393.8
08-08-2022,398.0,404.0,390.0,400.15
10-08-2022,400.0,420.2,390.0,414.75
11-08-2022,418.9,419.9,398.0,402.95
12-08-2022,402.0,406.05,380.0,386.6
16-08-2022,388.35,397.7,386.95,391.85
17-08-2022,390.1,396.75,390.0,393.5
18-08-2022,392.0,404.9,392.0,402.25
19-08-2022,403.65,410.0,397.55,401.15
22-08-2022,399.1,402.85,393.3,401.75
23-08-2022,400.0,404.95,388.3,402.9
24-08-2022,404.85,414.8,400.05,401.8
25-08-2022,405.0,414.0,405.0,406.45
26-08-2022,410.0,414.9,405.0,408.85
29-08-2022,402.85,420.0,402.1,408.9
30-08-2022,414.0,416.15,405.05,407.55
01-09-2022,411.0,414.0,404.0,405.35
02-09-2022,405.5,406.8,400.1,400.4
05-09-2022,409.95,409.95,399.75,400.7
06-09-2022,400.0,403.65,398.4,399.25
07-09-2022,400.5,410.75,397.0,399.6
08-09-2022,398.0,436.7,396.6,419.45
09-09-2022,409.0,447.0,407.1,436.9
12-09-2022,454.8,471.85,450.1,467.0
13-09-2022,473.0,485.85,468.3,481.05
14-09-2022,473.05,509.0,473.05,502.75
15-09-2022,507.95,516.0,500.2,506.85
16-09-2022,510.45,520.0,506.0,512.55
19-09-2022,515.0,532.0,515.0,527.95
20-09-2022,534.0,588.0,533.95,545.35
21-09-2022,551.75,567.0,546.35,559.8
22-09-2022,565.7,585.0,557.9,573.6
23-09-2022,583.45,584.4,551.0,554.9
26-09-2022,545.05,553.0,521.65,540.3
27-09-2022,540.0,580.0,540.0,573.45
28-09-2022,576.0,586.0,567.05,571.3
29-09-2022,580.0,584.95,560.9,565.25
30-09-2022,565.25,573.75,555.0,568.55
03-10-2022,573.0,575.0,565.0,565.95
04-10-2022,574.0,579.8,563.85,565.75
06-10-2022,568.5,644.7,568.5,614.7
07-10-2022,619.0,652.0,615.05,626.4
10-10-2022,630.5,631.5,607.7,616.35
11-10-2022,624.0,624.0,612.0,616.4
12-10-2022,620.0,652.7,613.0,646.85
13-10-2022,651.45,684.0,651.4,674.7
14-10-2022,693.9,700.0,670.0,672.55
17-10-2022,672.55,678.6,660.0,663.55
18-10-2022,669.75,678.4,663.5,665.25
19-10-2022,671.85,733.45,671.7,718.8
20-10-2022,727.3,738.9,681.2,710.0
21-10-2022,714.95,740.0,706.9,732.7
24-10-2022,745.0,750.9,735.45,746.35
25-10-2022,750.0,756.9,740.0,752.1
27-10-2022,768.0,774.85,754.0,762.2
28-10-2022,765.0,765.0,746.2,756.1
31-10-2022,764.7,765.0,754.0,755.35
01-11-2022,759.9,759.9,750.0,750.6
02-11-2022,754.85,768.8,748.0,755.3
03-11-2022,756.7,756.7,748.0,750.8
04-11-2022,755.0,756.75,742.0,752.7
07-11-2022,755.0,767.3,751.0,759.85
09-11-2022,767.8,767.8,743.0,751.0
10-11-2022,753.0,756.0,748.05,752.15
11-11-2022,756.75,757.0,700.0,731.7
14-11-2022,738.7,738.7,718.5,722.35
15-11-2022,724.0,724.3,711.95,715.0
16-11-2022,711.0,719.0,708.0,711.95
17-11-2022,711.5,711.55,686.45,701.45
18-11-2022,705.0,709.0,702.0,702.7
21-11-2022,707.95,708.5,702.75,703.05
22-11-2022,707.0,707.75,704.0,704.05
23-11-2022,705.0,708.0,695.0,704.5
24-11-2022,707.4,707.4,645.25,651.65
25-11-2022,659.7,673.9,655.4,663.75
28-11-2022,668.0,678.9,660.1,672.3
29-11-2022,678.0,693.0,674.1,685.0
30-11-2022,693.0,702.0,685.3,694.8
01-12-2022,697.0,700.0,644.55,680.3
02-12-2022,700.0,725.0,696.0,713.15
05-12-2022,721.05,730.0,720.0,725.1
06-12-2022,727.0,729.8,712.0,722.45
07-12-2022,727.95,727.95,717.5,720.35
08-12-2022,722.0,735.0,720.9,731.5
09-12-2022,736.0,736.0,731.0,733.15
12-12-2022,744.75,744.75,733.0,735.45
13-12-2022,737.0,743.0,735.0,741.55
14-12-2022,746.0,746.0,740.0,744.35
15-12-2022,746.1,747.0,741.0,744.25
16-12-2022,747.0,747.0,726.6,742.55
19-12-2022,747.0,747.0,741.0,741.95
20-12-2022,746.45,746.45,736.5,742.9
21-12-2022,750.0,761.85,721.0,744.7
22-12-2022,747.0,751.9,726.6,735.5
23-12-2022,736.95,736.95,675.0,701.8
26-12-2022,704.95,707.0,693.0,700.65
27-12-2022,706.95,719.0,700.0,708.05
28-12-2022,705.15,716.0,705.15,708.6
29-12-2022,708.6,708.6,703.55,705.65
30-12-2022,713.0,715.5,708.0,714.8
02-01-2023,717.0,717.0,712.0,715.15
03-01-2023,719.0,725.5,714.75,724.75
04-01-2023,725.0,728.0,720.0,724.1
05-01-2023,724.4,726.0,719.0,724.75
06-01-2023,723.0,726.0,716.0,719.05
09-01-2023,723.6,729.0,722.0,725.2
10-01-2023,728.0,728.0,721.0,724.3
11-01-2023,724.3,729.0,723.05,726.0
