date,open,high,low,close
22-07-2019,22.9,23.55,22.0,22.5
23-07-2019,23.0,23.0,21.6,21.75
24-07-2019,22.6,22.65,21.9,21.95
25-07-2019,21.5,22.85,21.1,22.5
26-07-2019,22.75,23.35,21.6,22.0
29-07-2019,22.3,22.3,20.95,21.25
30-07-2019,20.95,21.45,20.6,20.8
31-07-2019,20.85,20.95,19.8,20.5
01-08-2019,21.5,21.5,19.65,20.0
02-08-2019,19.8,20.55,19.2,19.9
05-08-2019,19.2,21.05,19.2,20.05
06-08-2019,19.2,22.4,19.2,20.7
07-08-2019,21.95,21.95,20.35,21.4
08-08-2019,22.4,22.4,20.85,21.4
09-08-2019,21.65,24.6,20.85,23.95
13-08-2019,25.0,26.1,24.0,24.2
14-08-2019,25.2,25.2,22.7,23.35
16-08-2019,24.75,24.75,22.8,22.95
19-08-2019,24.95,24.95,21.45,22.45
20-08-2019,23.2,23.2,21.4,21.9
21-08-2019,21.95,22.4,19.4,20.1
22-08-2019,20.3,21.3,18.8,19.35
23-08-2019,19.9,20.5,19.2,20.0
26-08-2019,22.8,23.0,20.05,20.75
27-08-2019,20.7,21.8,20.7,21.25
28-08-2019,21.6,21.6,19.85,20.3
29-08-2019,20.6,20.6,19.85,19.9
30-08-2019,21.6,21.6,19.05,20.95
03-09-2019,20.6,21.6,20.25,21.15
04-09-2019,21.45,21.8,20.8,21.0
05-09-2019,21.1,22.1,20.3,20.8
06-09-2019,21.05,21.4,20.65,21.2
09-09-2019,21.2,23.75,21.0,22.3
11-09-2019,22.3,23.55,22.2,22.45
12-09-2019,22.05,23.4,22.0,22.85
13-09-2019,22.65,27.45,22.65,27.25
16-09-2019,27.0,28.4,25.05,26.1
17-09-2019,25.6,26.7,24.65,25.0
18-09-2019,25.35,25.35,24.4,24.7
19-09-2019,25.85,25.85,23.3,23.4
20-09-2019,23.9,24.6,23.4,24.05
23-09-2019,25.55,25.6,24.4,24.7
24-09-2019,25.75,25.75,24.45,24.95
25-09-2019,25.45,25.45,24.3,24.85
26-09-2019,25.6,25.6,24.6,25.35
27-09-2019,25.8,25.8,24.25,24.55
30-09-2019,24.05,25.75,24.05,24.7
01-10-2019,25.55,25.6,23.7,24.05
03-10-2019,23.65,25.15,23.6,24.05
04-10-2019,24.0,25.0,23.05,24.65
07-10-2019,25.0,25.0,23.6,24.2
09-10-2019,25.5,25.5,23.65,24.0
10-10-2019,25.25,25.3,23.8,24.55
11-10-2019,25.8,25.85,23.6,24.05
14-10-2019,26.0,27.0,23.8,24.9
15-10-2019,25.55,25.55,24.3,25.2
16-10-2019,26.0,26.0,24.6,25.1
17-10-2019,24.6,24.7,23.85,24.35
18-10-2019,24.3,25.6,24.0,25.45
22-10-2019,24.6,29.1,24.0,26.45
23-10-2019,27.0,27.0,25.0,25.55
24-10-2019,25.6,26.0,24.45,24.9
25-10-2019,24.8,25.3,24.0,24.3
27-10-2019,25.6,25.6,24.2,25.4
29-10-2019,26.0,26.6,25.4,26.5
30-10-2019,26.65,28.0,26.6,27.35
31-10-2019,26.6,28.3,26.6,27.6
01-11-2019,28.0,28.0,26.8,27.1
04-11-2019,27.0,27.5,25.65,26.35
05-11-2019,26.95,27.4,26.15,26.4
06-11-2019,27.75,31.6,25.05,27.65
07-11-2019,27.7,28.2,26.45,26.8
08-11-2019,27.95,28.2,25.8,27.75
11-11-2019,26.4,27.6,25.7,26.0
13-11-2019,26.0,27.3,25.6,25.85
14-11-2019,27.0,27.0,24.35,25.55
15-11-2019,25.4,25.9,24.5,24.7
18-11-2019,24.7,25.4,23.7,24.45
19-11-2019,24.3,24.85,24.25,24.35
20-11-2019,24.4,24.4,24.0,24.2
21-11-2019,24.8,24.8,24.0,24.2
22-11-2019,24.4,24.4,23.85,24.2
25-11-2019,24.35,24.8,22.35,23.1
26-11-2019,24.2,24.2,23.0,23.3
27-11-2019,22.9,23.9,22.9,23.1
28-11-2019,22.85,23.5,22.7,23.05
29-11-2019,22.85,23.6,22.85,23.35
02-12-2019,23.25,23.85,23.1,23.25
03-12-2019,23.1,23.35,22.4,22.6
04-12-2019,22.8,23.0,22.4,22.5
05-12-2019,22.45,23.25,22.45,22.75
06-12-2019,23.6,23.6,22.0,22.35
09-12-2019,23.0,23.9,22.0,22.2
10-12-2019,22.1,22.4,22.0,22.3
11-12-2019,22.0,22.85,21.3,21.6
12-12-2019,21.4,22.8,21.0,21.65
13-12-2019,21.6,22.35,21.25,21.55
16-12-2019,22.2,22.2,21.05,21.1
17-12-2019,21.6,22.0,21.0,21.4
18-12-2019,21.1,21.6,21.1,21.55
19-12-2019,21.85,21.85,21.0,21.3
20-12-2019,21.55,21.85,20.6,21.2
23-12-2019,21.85,21.85,21.2,21.45
24-12-2019,21.45,21.85,21.4,21.65
