date,open,high,low,close
22-07-2019,1995.0,2016.9,1886.6,1903.4
23-07-2019,1900.0,1988.0,1899.5,1906.85
24-07-2019,1889.95,1950.0,1875.0,1907.85
25-07-2019,1893.05,1955.15,1893.05,1929.15
26-07-2019,1900.0,1949.95,1900.0,1924.8
29-07-2019,1929.95,1929.95,1876.0,1886.6
30-07-2019,1860.0,1902.95,1855.0,1890.65
31-07-2019,1857.4,1880.9,1832.15,1871.1
01-08-2019,1845.0,1876.0,1845.0,1870.55
02-08-2019,1866.0,1917.95,1809.0,1893.3
05-08-2019,1858.05,1858.05,1740.0,1799.7
06-08-2019,1752.7,1898.0,1752.6,1870.35
07-08-2019,1878.0,1908.05,1840.05,1850.9
08-08-2019,1820.6,1860.95,1811.0,1850.65
09-08-2019,1886.95,1887.0,1835.0,1856.0
13-08-2019,1899.0,1899.0,1759.1,1770.0
14-08-2019,1745.0,1836.05,1744.95,1761.4
16-08-2019,1757.0,1757.0,1707.0,1718.9
19-08-2019,1676.0,1738.35,1676.0,1720.15
20-08-2019,1762.0,1762.0,1700.0,1748.6
21-08-2019,1757.0,1761.0,1701.1,1729.6
22-08-2019,1799.0,1799.0,1717.95,1743.95
23-08-2019,1752.1,1830.0,1690.85,1751.25
26-08-2019,1829.0,1915.0,1775.0,1869.6
27-08-2019,1890.0,1949.0,1869.55,1920.85
28-08-2019,1950.0,1971.8,1901.7,1937.3
29-08-2019,1949.95,1949.95,1782.1,1900.1
30-08-2019,1907.05,1999.0,1897.7,1986.55
03-09-2019,1931.0,1969.75,1930.05,1936.3
04-09-2019,1936.0,1971.6,1929.4,1951.95
05-09-2019,1960.1,2049.0,1960.1,2044.25
06-09-2019,2049.95,2049.95,2021.0,2048.6
09-09-2019,2050.0,2175.95,2011.65,2148.25
11-09-2019,2183.0,2183.0,2050.0,2066.35
12-09-2019,2098.95,2114.95,2009.6,2036.25
13-09-2019,2082.05,2085.0,2036.1,2060.5
16-09-2019,2100.0,2110.5,2027.55,2090.7
17-09-2019,2090.55,2108.9,1976.3,1994.95
18-09-2019,2015.0,2027.6,1960.0,1970.4
19-09-2019,1970.05,2094.0,1865.0,1958.75
20-09-2019,1915.05,2099.0,1915.05,2087.05
23-09-2019,2250.0,2250.0,2119.05,2218.15
24-09-2019,2214.0,2214.0,2138.05,2178.3
25-09-2019,2125.2,2185.0,2100.0,2149.25
26-09-2019,2126.05,2191.8,2124.8,2157.95
27-09-2019,2071.0,2194.6,2071.0,2168.75
30-09-2019,2154.3,2154.4,2051.55,2103.35
01-10-2019,2060.0,2114.35,1980.1,1998.55
03-10-2019,2024.9,2024.9,1905.0,1934.95
04-10-2019,1987.5,1987.5,1914.0,1936.5
07-10-2019,1930.0,1948.05,1875.0,1912.2
09-10-2019,1928.7,1969.45,1915.0,1928.65
10-10-2019,1925.05,1984.95,1911.0,1969.5
11-10-2019,1965.0,1982.95,1912.05,1978.75
14-10-2019,2000.0,2125.0,1939.75,2055.65
15-10-2019,2026.0,2056.45,1991.0,2016.9
16-10-2019,2000.0,2041.3,1980.0,1988.5
17-10-2019,1994.25,2118.65,1989.05,2037.6
18-10-2019,2005.15,2130.15,2005.15,2093.7
22-10-2019,2105.9,2143.0,1970.0,2010.3
23-10-2019,2010.6,2034.65,1955.0,1970.35
24-10-2019,1989.95,2008.5,1927.15,1937.25
25-10-2019,1930.0,1960.0,1913.05,1942.35
27-10-2019,1960.0,1960.0,1924.0,1954.55
29-10-2019,1953.0,1960.0,1919.1,1935.0
30-10-2019,1960.0,1988.0,1950.0,1951.95
31-10-2019,1969.4,2007.0,1940.55,1974.25
01-11-2019,2007.9,2007.9,1980.0,1997.75
04-11-2019,1960.0,1960.05,1868.3,1893.8
05-11-2019,1909.0,1926.95,1812.0,1841.6
06-11-2019,1858.85,1858.85,1735.0,1748.65
07-11-2019,1760.05,1768.4,1732.05,1749.8
08-11-2019,1740.0,1746.35,1710.05,1714.0
11-11-2019,1701.05,1734.0,1671.0,1714.5
13-11-2019,1710.0,1727.15,1661.05,1680.05
14-11-2019,1708.95,1739.25,1665.15,1716.95
15-11-2019,1720.0,1747.95,1695.05,1706.85
18-11-2019,1714.2,1739.0,1692.8,1722.45
19-11-2019,1725.0,1779.0,1720.0,1747.0
20-11-2019,1737.7,1743.95,1710.1,1721.4
21-11-2019,1715.75,1715.75,1675.1,1699.05
