date,open,high,low,close
22-07-2019,17.0,17.0,16.95,17.0
23-07-2019,16.15,17.55,16.15,17.45
24-07-2019,17.6,17.6,16.6,16.6
25-07-2019,16.85,16.85,15.8,16.5
26-07-2019,16.5,16.5,16.5,16.5
29-07-2019,16.0,16.0,15.7,15.7
30-07-2019,16.0,16.45,15.05,15.15
31-07-2019,14.45,15.4,14.45,14.45
01-08-2019,14.45,14.45,13.75,13.75
02-08-2019,13.75,13.75,13.1,13.75
05-08-2019,13.1,14.0,13.1,14.0
06-08-2019,13.5,14.45,13.3,14.15
07-08-2019,14.2,14.75,13.45,14.4
08-08-2019,13.7,14.1,13.7,14.0
09-08-2019,14.0,14.3,13.3,14.3
13-08-2019,13.6,15.0,13.6,13.6
14-08-2019,14.25,14.25,13.0,13.2
16-08-2019,13.5,13.65,12.55,12.65
20-08-2019,12.95,12.95,12.8,12.8
21-08-2019,12.8,12.8,12.8,12.8
23-08-2019,12.2,12.2,12.2,12.2
26-08-2019,12.8,12.8,11.6,11.7
27-08-2019,12.25,12.25,11.5,12.1
28-08-2019,12.5,12.5,11.8,12.4
29-08-2019,12.4,12.4,12.4,12.4
30-08-2019,11.8,11.85,11.8,11.8
03-09-2019,11.25,12.1,11.25,12.0
04-09-2019,11.4,11.9,11.4,11.85
05-09-2019,11.85,12.15,11.85,12.15
06-09-2019,12.0,12.0,11.55,11.95
09-09-2019,11.4,11.95,11.4,11.95
11-09-2019,11.4,12.5,11.4,12.5
12-09-2019,12.0,13.1,12.0,13.05
13-09-2019,12.4,12.85,12.4,12.4
16-09-2019,11.8,12.8,11.8,12.15
17-09-2019,11.6,12.15,11.55,12.15
18-09-2019,11.55,12.4,11.55,12.0
19-09-2019,11.4,12.25,11.4,12.15
20-09-2019,11.6,12.75,11.6,11.8
23-09-2019,11.6,12.35,11.55,11.75
24-09-2019,11.25,12.3,11.25,12.3
25-09-2019,12.3,12.8,11.7,11.7
26-09-2019,11.25,12.25,11.25,12.25
27-09-2019,11.65,12.3,11.65,12.25
30-09-2019,11.7,12.45,11.7,11.8
01-10-2019,12.35,12.35,11.5,12.25
03-10-2019,11.65,12.25,11.65,11.65
04-10-2019,11.3,12.15,11.3,11.4
07-10-2019,11.4,11.9,11.4,11.8
09-10-2019,11.6,11.6,11.25,11.6
10-10-2019,11.25,11.9,11.05,11.9
11-10-2019,12.0,12.0,12.0,12.0
14-10-2019,12.0,12.0,11.45,11.95
15-10-2019,11.85,11.85,11.85,11.85
16-10-2019,11.65,11.65,11.65,11.65
17-10-2019,11.65,12.1,11.55,11.65
18-10-2019,11.4,11.65,11.1,11.15
22-10-2019,11.7,11.7,11.4,11.4
23-10-2019,11.4,11.95,11.25,11.3
24-10-2019,10.9,11.8,10.9,11.25
25-10-2019,11.1,11.8,10.75,11.8
27-10-2019,12.35,12.35,12.35,12.35
29-10-2019,12.0,12.3,11.9,12.25
30-10-2019,11.65,12.75,11.65,12.75
31-10-2019,12.75,12.75,12.15,12.15
01-11-2019,12.75,12.75,11.75,12.75
04-11-2019,12.15,12.75,12.15,12.35
05-11-2019,12.95,12.95,12.5,12.95
06-11-2019,12.95,13.55,12.6,13.55
07-11-2019,13.05,14.2,13.05,14.1
08-11-2019,14.15,14.8,13.55,13.8
11-11-2019,14.0,14.45,13.25,13.25
13-11-2019,12.8,13.2,12.8,13.2
14-11-2019,13.85,13.85,13.85,13.85
15-11-2019,14.5,14.5,14.45,14.5
18-11-2019,15.2,15.2,15.2,15.2
19-11-2019,15.95,15.95,15.9,15.95
20-11-2019,16.7,16.7,16.7,16.7
21-11-2019,17.5,17.5,17.5,17.5
22-11-2019,18.35,18.35,18.35,18.35
25-11-2019,19.25,19.25,19.2,19.25
26-11-2019,20.2,20.2,20.2,20.2
27-11-2019,20.9,21.2,19.25,19.45
28-11-2019,18.55,20.4,18.55,20.4
29-11-2019,21.4,21.4,20.65,21.4
02-12-2019,22.45,22.45,20.8,22.35
03-12-2019,21.25,22.2,21.25,21.5
04-12-2019,21.5,21.9,20.45,20.45
05-12-2019,19.45,20.9,19.45,20.0
06-12-2019,19.55,20.9,19.0,20.0
09-12-2019,19.85,19.85,19.0,19.0
10-12-2019,18.55,19.45,18.05,18.4
11-12-2019,17.5,19.05,17.5,19.05
12-12-2019,18.9,20.0,18.9,19.45
13-12-2019,19.0,20.3,18.7,20.1
16-12-2019,20.0,21.1,19.5,19.7
17-12-2019,19.2,20.5,19.2,19.7
18-12-2019,18.85,20.6,18.85,19.2
19-12-2019,19.6,20.15,19.1,19.1
20-12-2019,20.0,20.0,19.0,19.0
23-12-2019,19.85,19.9,18.55,18.85
24-12-2019,18.5,18.5,18.3,18.3
26-12-2019,17.95,19.2,17.95,19.0
27-12-2019,18.3,19.45,18.25,18.6
30-12-2019,19.45,19.45,18.3,18.5
31-12-2019,19.35,19.35,18.3,18.6
01-01-2020,18.0,19.5,17.7,18.65
02-01-2020,18.25,19.5,18.25,18.8
03-01-2020,19.6,19.6,18.55,19.0
06-01-2020,18.65,19.5,18.5,18.5
07-01-2020,18.3,19.1,18.0,18.9
08-01-2020,19.0,19.5,18.3,19.4
09-01-2020,19.4,19.95,18.5,18.65
10-01-2020,19.45,19.45,18.5,18.95
13-01-2020,19.85,19.85,18.7,19.85
14-01-2020,19.85,20.8,19.4,20.15
15-01-2020,20.15,20.15,19.25,19.3
16-01-2020,19.05,20.25,18.7,19.6
17-01-2020,18.75,20.0,18.7,19.95
20-01-2020,19.4,20.0,19.4,19.65
21-01-2020,19.0,19.7,19.0,19.7
22-01-2020,20.0,20.1,19.2,19.75
