date,open,high,low,close
22-07-2019,702.0,710.0,685.05,689.6
23-07-2019,700.0,723.0,700.0,719.0
24-07-2019,719.0,739.7,710.0,723.3
25-07-2019,715.0,731.0,700.0,707.5
26-07-2019,701.0,736.2,697.5,722.55
29-07-2019,730.0,732.0,700.0,703.95
30-07-2019,700.1,713.5,695.0,697.15
31-07-2019,690.0,720.0,666.0,673.55
01-08-2019,680.0,694.95,670.0,674.15
02-08-2019,675.0,675.0,645.0,650.45
05-08-2019,645.45,655.0,621.1,624.9
06-08-2019,636.85,638.95,612.25,620.7
07-08-2019,628.0,634.0,591.0,600.0
08-08-2019,609.95,618.9,577.0,583.2
09-08-2019,592.0,598.95,571.0,586.35
13-08-2019,614.95,614.95,580.0,586.2
14-08-2019,595.0,597.0,582.0,595.1
16-08-2019,596.0,607.05,590.0,601.0
19-08-2019,596.05,605.95,596.05,600.8
20-08-2019,594.0,605.0,594.0,597.0
21-08-2019,591.55,607.9,591.55,600.8
22-08-2019,595.0,606.0,593.0,595.65
23-08-2019,600.0,600.0,585.05,593.2
26-08-2019,616.0,616.0,596.0,605.15
27-08-2019,606.0,621.0,606.0,613.6
28-08-2019,608.55,615.9,596.1,600.4
29-08-2019,592.5,612.95,592.5,605.2
30-08-2019,600.0,611.0,595.1,598.25
03-09-2019,601.85,601.9,582.15,585.65
04-09-2019,582.1,589.0,571.15,572.9
05-09-2019,577.0,580.0,573.8,574.9
06-09-2019,578.0,599.0,572.0,596.95
09-09-2019,600.0,600.6,590.5,593.3
11-09-2019,593.3,602.0,588.0,596.85
12-09-2019,598.0,611.0,595.0,599.3
13-09-2019,600.0,610.0,598.0,598.9
16-09-2019,596.0,606.0,596.0,600.95
17-09-2019,600.0,604.95,590.3,590.75
18-09-2019,594.3,607.95,588.55,591.8
19-09-2019,599.0,607.75,588.0,594.55
20-09-2019,597.2,610.0,590.1,603.15
23-09-2019,612.0,698.7,580.0,623.9
24-09-2019,612.7,644.0,612.7,632.45
25-09-2019,619.0,634.75,610.0,616.9
26-09-2019,622.9,629.75,600.0,604.1
27-09-2019,605.05,605.05,568.55,589.45
30-09-2019,577.0,599.0,545.0,551.65
01-10-2019,569.0,588.0,558.05,575.15
03-10-2019,578.9,618.0,570.0,599.45
04-10-2019,605.0,619.95,589.5,613.35
07-10-2019,614.55,616.95,591.6,610.0
09-10-2019,605.05,620.0,595.0,612.95
10-10-2019,612.95,612.95,592.6,606.7
11-10-2019,615.0,639.0,601.15,613.55
14-10-2019,614.95,619.15,607.05,615.3
15-10-2019,609.05,625.0,609.0,615.35
16-10-2019,621.95,631.4,615.0,628.1
17-10-2019,618.05,638.65,618.0,630.1
18-10-2019,628.95,651.95,628.95,631.9
22-10-2019,647.0,655.0,629.0,635.35
23-10-2019,648.0,648.0,633.3,636.45
24-10-2019,636.0,650.05,630.0,641.0
25-10-2019,665.0,665.0,627.6,640.45
27-10-2019,657.95,658.0,635.0,645.4
29-10-2019,642.5,660.0,630.5,644.75
30-10-2019,644.75,655.0,638.0,645.3
31-10-2019,647.5,651.8,638.0,645.0
01-11-2019,648.0,666.0,644.35,657.3
04-11-2019,653.25,669.0,636.05,648.0
05-11-2019,658.0,665.0,632.7,640.25
06-11-2019,662.0,662.0,610.5,620.55
07-11-2019,638.0,638.0,618.15,625.35
08-11-2019,620.05,648.0,616.0,627.3
11-11-2019,632.5,655.0,625.0,645.45
13-11-2019,665.0,689.8,649.55,651.7
14-11-2019,651.0,690.0,645.0,646.25
15-11-2019,649.95,649.95,625.0,629.45
18-11-2019,644.0,644.0,623.0,625.65
19-11-2019,620.0,631.5,620.0,625.3
20-11-2019,625.95,629.6,616.0,618.5
21-11-2019,619.0,623.0,601.0,606.25
22-11-2019,614.9,614.9,602.9,605.1
25-11-2019,614.8,617.8,600.0,604.45
26-11-2019,607.95,613.0,598.95,601.4
27-11-2019,601.5,610.35,601.3,602.3
28-11-2019,602.15,609.45,596.0,597.4
29-11-2019,598.0,611.0,598.0,601.3
02-12-2019,601.0,609.95,590.0,595.2
03-12-2019,595.0,599.9,582.0,586.85
04-12-2019,595.0,595.0,580.05,584.1
05-12-2019,591.0,592.25,580.0,590.2
06-12-2019,593.8,595.0,585.5,586.55
09-12-2019,590.0,590.0,575.0,578.1
10-12-2019,580.0,581.85,570.0,573.95
11-12-2019,573.95,578.0,567.0,567.45
12-12-2019,572.0,576.2,557.0,566.05
13-12-2019,566.1,617.0,562.0,587.75
16-12-2019,604.0,609.0,590.0,598.55
17-12-2019,600.1,613.25,592.05,597.25
18-12-2019,597.35,609.0,590.1,596.25
19-12-2019,596.35,607.0,580.05,593.05
20-12-2019,593.05,611.0,593.05,606.7
23-12-2019,610.0,618.0,600.0,601.65
24-12-2019,604.95,607.0,581.1,585.6
26-12-2019,588.9,650.0,588.9,615.05
27-12-2019,612.0,633.2,612.0,619.75
30-12-2019,619.7,627.95,610.05,615.9
31-12-2019,615.9,615.9,595.0,599.3
01-01-2020,606.0,613.0,595.0,604.15
02-01-2020,604.15,615.0,597.0,609.45
03-01-2020,609.0,616.0,592.3,612.75
06-01-2020,598.0,625.3,591.0,620.1
07-01-2020,624.85,626.05,615.0,619.9
08-01-2020,615.0,634.8,610.0,630.1
09-01-2020,634.75,722.7,625.4,662.2
10-01-2020,662.0,688.65,656.7,666.6
13-01-2020,669.5,682.0,660.0,675.65
14-01-2020,674.95,679.2,674.95,675.35
15-01-2020,675.95,690.0,661.8,668.4
16-01-2020,671.0,677.05,657.0,660.7
17-01-2020,659.0,675.7,654.5,657.2
20-01-2020,658.55,674.5,647.95,653.9
21-01-2020,654.6,665.0,642.05,658.95
22-01-2020,659.0,665.95,643.05,644.75
23-01-2020,645.05,657.0,642.4,643.0
24-01-2020,649.9,659.0,644.8,652.6
27-01-2020,644.6,656.8,643.1,650.05
28-01-2020,649.85,649.9,610.1,618.95
29-01-2020,630.0,637.4,610.0,615.95
30-01-2020,615.0,625.95,595.3,597.8
31-01-2020,609.0,612.95,590.0,592.85
01-02-2020,597.5,608.85,593.3,598.3
03-02-2020,592.0,602.5,592.0,597.75
04-02-2020,599.1,608.9,582.3,586.75
05-02-2020,588.05,599.95,588.0,597.6
06-02-2020,593.05,614.9,592.0,603.0
07-02-2020,605.0,615.0,590.3,611.65
10-02-2020,609.85,614.8,588.55,598.3
11-02-2020,595.05,612.0,595.0,602.9
12-02-2020,607.45,648.0,595.0,600.95
13-02-2020,600.05,609.95,580.0,590.15
14-02-2020,588.0,598.9,560.0,576.8
17-02-2020,575.25,585.65,572.0,577.65
18-02-2020,579.0,579.0,555.25,563.65
19-02-2020,563.05,601.0,563.0,597.95
20-02-2020,594.7,600.35,556.2,566.5
24-02-2020,565.0,569.85,528.25,546.15
25-02-2020,546.2,554.8,532.1,541.75
26-02-2020,533.2,547.95,520.0,525.4
27-02-2020,525.4,543.95,505.3,533.75
28-02-2020,520.0,520.0,506.3,513.15
02-03-2020,543.9,543.9,491.95,497.1
03-03-2020,498.1,504.0,480.0,482.5
04-03-2020,482.0,515.0,465.4,509.6
05-03-2020,509.0,509.0,485.25,493.5
06-03-2020,490.0,490.65,465.05,479.8
09-03-2020,460.0,480.85,451.1,454.5
11-03-2020,478.9,478.9,442.3,473.45
12-03-2020,465.0,465.0,410.0,451.45
13-03-2020,425.0,475.75,401.15,468.35
16-03-2020,460.0,475.05,440.1,448.0
17-03-2020,433.35,464.0,380.3,385.7
18-03-2020,404.8,404.8,327.9,333.3
19-03-2020,335.15,343.9,292.3,304.85
20-03-2020,323.9,326.0,305.0,310.35
23-03-2020,310.35,340.0,279.35,298.25
24-03-2020,300.0,302.0,280.0,293.8
25-03-2020,292.0,320.0,287.15,314.8
26-03-2020,318.9,344.7,312.0,335.9
27-03-2020,315.1,341.7,303.0,325.35
30-03-2020,338.0,338.0,308.05,328.7
31-03-2020,328.7,340.05,316.6,336.05
01-04-2020,317.55,337.95,317.35,319.0
03-04-2020,319.2,337.0,319.0,329.45
07-04-2020,329.45,337.95,319.7,324.45
08-04-2020,329.75,338.4,321.85,325.8
09-04-2020,336.95,377.8,330.0,337.35
13-04-2020,337.35,341.95,322.05,330.65
15-04-2020,338.0,369.0,324.55,351.8
16-04-2020,354.95,362.0,346.1,358.8
17-04-2020,387.85,430.55,360.0,423.95
20-04-2020,432.25,499.5,432.25,461.8
21-04-2020,452.0,455.2,422.05,438.6
22-04-2020,433.0,451.0,432.0,438.45
23-04-2020,438.45,455.0,425.0,429.65
24-04-2020,417.3,429.6,405.0,409.0
27-04-2020,411.0,430.0,408.0,415.95
28-04-2020,424.7,426.5,410.0,413.45
29-04-2020,417.85,430.0,410.3,422.1
30-04-2020,432.1,437.95,416.35,421.5
04-05-2020,421.5,422.35,400.0,405.7
05-05-2020,407.0,411.5,398.5,400.3
06-05-2020,400.35,400.35,386.1,392.75
07-05-2020,392.75,410.0,383.4,387.35
08-05-2020,388.2,398.0,371.85,386.85
11-05-2020,386.85,400.0,383.0,389.3
12-05-2020,383.3,386.0,362.35,370.95
13-05-2020,384.9,394.05,376.0,386.7
14-05-2020,386.75,393.0,380.5,383.65
15-05-2020,376.0,393.0,373.3,380.25
18-05-2020,385.85,393.9,369.0,371.6
19-05-2020,380.95,388.0,364.0,372.4
20-05-2020,379.85,386.0,372.1,378.6
