date,open,high,low,close
22-07-2019,72.35,78.9,72.25,72.8
23-07-2019,72.05,74.4,72.05,73.35
24-07-2019,73.45,75.05,72.15,73.95
25-07-2019,75.0,77.45,73.6,76.1
26-07-2019,75.95,76.0,74.0,74.75
29-07-2019,74.5,74.7,72.2,73.6
30-07-2019,73.2,74.45,71.25,72.7
31-07-2019,72.0,74.8,72.0,72.95
01-08-2019,74.45,74.45,70.0,71.45
02-08-2019,71.25,74.9,71.2,73.75
05-08-2019,73.05,74.9,71.45,74.0
06-08-2019,74.0,76.05,72.4,73.75
07-08-2019,73.8,75.7,72.55,72.95
08-08-2019,73.0,74.4,71.8,72.2
09-08-2019,72.2,73.7,70.35,71.6
13-08-2019,70.2,71.8,67.2,68.7
14-08-2019,71.25,71.25,66.25,67.15
16-08-2019,67.9,67.9,63.1,64.2
19-08-2019,64.7,65.35,64.0,64.35
20-08-2019,63.15,65.75,62.1,62.85
21-08-2019,63.25,63.7,58.5,58.95
22-08-2019,58.0,59.3,54.65,57.85
23-08-2019,59.25,59.6,55.1,58.15
26-08-2019,62.0,63.0,58.45,61.25
27-08-2019,61.25,62.5,60.6,61.15
28-08-2019,62.95,64.6,60.2,63.4
29-08-2019,62.05,63.9,60.2,60.75
30-08-2019,62.6,63.65,60.9,63.15
03-09-2019,61.4,62.4,61.1,61.3
04-09-2019,63.15,64.7,62.0,63.8
05-09-2019,62.05,65.2,62.05,63.2
06-09-2019,64.75,65.65,64.15,65.4
09-09-2019,65.5,69.4,65.2,66.85
11-09-2019,66.35,69.1,66.35,68.3
12-09-2019,69.25,69.9,66.5,66.95
13-09-2019,67.1,70.7,66.15,68.0
16-09-2019,68.0,69.5,66.5,67.35
17-09-2019,67.0,68.75,66.5,66.85
18-09-2019,67.25,67.6,64.25,65.35
19-09-2019,67.0,67.5,62.7,65.6
20-09-2019,65.1,68.5,64.7,66.85
23-09-2019,68.05,68.05,66.25,66.5
24-09-2019,67.0,71.35,65.1,68.65
25-09-2019,69.0,69.5,65.0,66.05
26-09-2019,66.05,67.65,64.0,64.25
27-09-2019,66.4,67.8,64.0,65.2
30-09-2019,66.0,66.0,60.5,61.2
01-10-2019,63.0,64.3,61.6,63.1
03-10-2019,62.0,68.0,62.0,62.25
04-10-2019,61.75,63.5,60.1,61.05
07-10-2019,62.7,62.7,57.95,58.4
09-10-2019,60.0,60.0,57.0,58.0
10-10-2019,58.0,59.5,56.05,58.35
11-10-2019,58.0,58.9,56.7,57.2
14-10-2019,57.25,58.9,57.25,58.75
15-10-2019,58.9,58.9,56.65,57.4
16-10-2019,57.5,60.05,57.0,58.0
17-10-2019,58.0,59.45,57.5,59.0
18-10-2019,58.15,62.3,58.0,61.05
22-10-2019,62.5,62.9,59.05,59.65
23-10-2019,61.0,62.0,60.3,60.6
24-10-2019,62.6,62.6,60.1,60.65
25-10-2019,60.95,63.4,59.8,61.3
27-10-2019,62.45,63.0,61.05,62.15
29-10-2019,62.4,63.2,60.95,61.8
30-10-2019,62.35,63.75,61.2,61.65
31-10-2019,61.25,62.9,60.8,62.0
01-11-2019,61.55,62.1,60.9,61.05
04-11-2019,62.7,62.7,60.3,60.65
05-11-2019,61.65,61.65,60.2,60.55
06-11-2019,61.95,61.95,59.0,60.1
07-11-2019,60.5,60.8,58.25,59.45
08-11-2019,59.95,62.5,58.5,61.15
11-11-2019,60.15,60.15,57.65,58.1
13-11-2019,57.1,58.25,55.5,56.0
14-11-2019,56.0,60.9,54.5,57.85
15-11-2019,57.45,57.5,54.1,54.5
18-11-2019,54.0,56.9,54.0,54.65
19-11-2019,55.35,55.35,50.35,50.95
20-11-2019,50.3,53.35,50.3,51.5
21-11-2019,50.9,53.0,50.55,51.4
22-11-2019,52.1,52.1,50.2,50.55
25-11-2019,51.85,52.5,50.9,51.45
26-11-2019,54.0,54.0,52.1,52.75
27-11-2019,53.8,53.8,51.2,51.8
28-11-2019,51.8,51.8,49.5,49.95
29-11-2019,50.4,51.9,50.4,51.0
02-12-2019,51.5,54.0,51.2,51.9
03-12-2019,51.4,51.75,49.6,50.1
04-12-2019,51.8,51.8,50.05,50.2
05-12-2019,51.25,51.25,48.0,48.8
06-12-2019,48.65,49.15,47.8,48.15
09-12-2019,48.0,48.4,47.2,47.6
10-12-2019,48.2,48.2,45.8,46.0
11-12-2019,45.2,46.9,45.0,45.5
12-12-2019,46.5,46.5,43.6,44.9
13-12-2019,44.95,46.0,44.2,44.65
16-12-2019,46.4,46.85,42.6,43.55
17-12-2019,43.85,44.65,41.9,43.8
18-12-2019,44.9,45.15,43.05,44.25
19-12-2019,43.75,44.7,43.05,43.85
20-12-2019,43.65,44.4,42.5,42.9
23-12-2019,42.3,43.4,40.6,41.0
24-12-2019,41.7,42.1,41.05,41.5
26-12-2019,41.5,48.5,40.5,46.85
27-12-2019,47.75,55.4,45.0,52.65
30-12-2019,53.0,54.7,50.5,51.35
31-12-2019,51.25,52.25,49.25,50.05
01-01-2020,49.1,50.25,48.1,48.5
02-01-2020,48.0,58.2,48.0,58.2
03-01-2020,66.8,69.8,62.0,66.65
06-01-2020,65.0,65.85,60.7,61.3
07-01-2020,64.3,73.55,62.0,73.55
08-01-2020,75.5,80.9,70.7,72.5
09-01-2020,72.75,78.1,68.6,68.95
10-01-2020,69.7,69.85,64.8,65.3
13-01-2020,65.3,67.8,63.15,63.95
14-01-2020,65.2,65.8,63.05,63.35
15-01-2020,65.5,67.7,63.5,66.5
16-01-2020,66.9,68.15,65.1,66.3
17-01-2020,66.25,66.9,63.65,64.45
20-01-2020,65.75,65.75,63.5,64.55
21-01-2020,64.35,65.0,63.0,63.3
22-01-2020,63.65,64.05,57.0,57.8
23-01-2020,58.15,58.7,54.8,55.15
24-01-2020,55.1,58.0,52.8,53.5
27-01-2020,54.35,58.85,53.45,58.05
28-01-2020,57.2,58.05,55.05,55.95
29-01-2020,56.25,57.5,56.0,56.4
30-01-2020,56.4,57.4,53.65,54.05
31-01-2020,55.4,55.45,52.8,53.05
01-02-2020,54.0,54.6,50.4,50.95
03-02-2020,51.8,52.35,48.5,48.85
04-02-2020,48.1,50.9,48.1,50.15
05-02-2020,51.35,53.85,51.2,52.3
06-02-2020,52.55,55.8,52.0,53.75
07-02-2020,54.4,54.5,51.8,52.75
10-02-2020,53.0,55.0,52.25,54.25
11-02-2020,54.25,54.95,52.1,52.3
12-02-2020,52.35,53.45,51.0,51.6
13-02-2020,52.0,52.75,50.8,51.25
14-02-2020,51.25,54.2,50.6,51.55
17-02-2020,51.55,51.55,48.4,48.55
18-02-2020,48.4,48.4,45.0,46.0
19-02-2020,46.95,48.25,46.0,47.3
20-02-2020,47.6,48.7,46.05,46.65
24-02-2020,46.1,47.45,44.5,44.9
25-02-2020,45.55,45.55,44.1,44.85
26-02-2020,44.1,46.0,42.0,44.1
27-02-2020,44.55,51.5,42.25,48.1
28-02-2020,44.4,47.85,44.4,46.8
02-03-2020,45.2,48.0,43.05,44.6
03-03-2020,44.1,45.5,43.05,43.7
04-03-2020,44.0,44.0,40.75,41.7
05-03-2020,41.1,42.5,38.6,39.7
06-03-2020,38.6,38.6,36.0,37.2
09-03-2020,36.5,37.0,30.8,34.6
11-03-2020,35.25,36.0,32.1,33.95
12-03-2020,30.7,32.05,29.0,29.4
13-03-2020,25.55,32.8,24.5,31.9
16-03-2020,31.85,33.2,26.25,27.65
17-03-2020,29.55,29.55,26.5,27.75
18-03-2020,29.15,29.2,26.5,27.2
19-03-2020,27.2,28.5,24.0,25.35
20-03-2020,27.0,27.8,25.4,27.05
23-03-2020,25.0,28.45,24.4,24.85
24-03-2020,25.05,25.95,23.1,24.25
25-03-2020,24.1,25.5,23.1,24.9
26-03-2020,25.5,27.35,25.5,26.75
27-03-2020,27.95,28.0,25.8,26.0
30-03-2020,26.0,26.95,24.0,26.5
31-03-2020,27.95,27.95,26.0,27.4
01-04-2020,27.55,28.1,26.1,26.65
03-04-2020,28.95,28.95,25.5,26.7
07-04-2020,27.05,28.0,26.55,27.45
08-04-2020,25.45,29.7,25.45,28.8
09-04-2020,30.55,34.55,30.55,34.55
